汉字,漢越語,IPA
一,Nhất,ɲɤt7
丨,Cổn,kon3
丶,Chủ,tʂu3
丿,Phiệt,fiet8
乀,Phật,fɤt8
乙,Ất,ɤt7
亅,Quyết,kwiet7
丁,Tranh,tʂa:ɲ1
丁,Đinh,diɲ1
丂,Khảo,xa:w3
七,Thất,t'ɤt7
乂,Nghệ,ŋe6
乃,Nãi,na:j4
九,Cửu,kɯw3
了,Liễu,liew4
二,Nhị,ɲi6
人,Nhân,ɲɤn1
入,Nhập,ɲɤp8
八,Bát,ba:t7
冖,Mịch,miʧ8
冫,Băng,baŋ1
几,Kỉ,ki3
凵,Khảm,xa:m3
刀,Đao,da:w1
刁,Điêu,diew1
力,Lực,lɯk8
勹,Bao,ba:w1
匕,Chủy,tʂwi3
匚,Phương,fɯɤŋ1
匸,Hệ,he6
十,Thập,t'ɤp8
卜,Bốc,bok7
厂,Hán,ha:n5
厶,Tư,tɯ1
又,Hựu,hɯw6
廴,Dẫn,zɤn4
万,Mặc,mak8
丈,Trượng,tʂɯɤŋ6
三,Tam,ta:m1
上,Thượng,t'ɯɤŋ6
上,Thướng,t'ɯɤŋ5
下,Hạ,ha:6
丫,A,a:1
丸,Hoàn,hwa:n2
久,Cửu,kɯw3
乞,Khất,xɤt7
也,Dã,za:4
亍,Xúc,suk7
于,Vu,vu1
亡,Vong,vɔŋ1
兀,Ngột,ŋot8
凡,Phàm,fa:m2
刃,Nhận,ɲɤn6
勺,Thược,t'ɯɤk8
千,Thiên,t'ien1
叉,Xoa,swa:1
口,Khẩu,xɤw3
囗,Vi,vi1
土,Thổ,t'o3
土,Độ,do6
士,Sĩ,ʂi4
夂,Truy,tʂwi1
夊,Tuy,twi1
夕,Tịch,tiʧ8
大,Đại,da:j6
大,Đại,da:j6
女,Nữ,nɯ4
女,Nứ,nɯ5
子,Tử,tɯ3
孑,Kiết,kiet7
孒,Quyết,kwiet7
宀,Miên,mien1
寸,Thốn,t'on5
小,Tiểu,tiew3
尸,Thi,t'i1
屮,Triệt,tʂiet8
山,San,ʂa:n1
川,Xuyên,swien1
工,Công,koŋ1
己,Kỉ,ki3
已,Dĩ,zi4
巳,Tị,ti6
巾,Cân,kɤn1
干,Can,ka:n1
幺,Yêu,iew1
广,Nghiễm,ŋiem4
廾,Củng,kuŋ3
弋,Dặc,zak8
弓,Cung,kuŋ1
彐,Kí,ki5
彡,Sam,ʂa:m1
彳,Xích,siʧ7
才,Tài,ta:j2
不,Bất,bɤt7
丐,Cái,ka:j5
丑,Sửu,ʂɯw3
中,Trung,tʂuŋ1
中,Trúng,tʂuŋ5
丯,Phong,fɔŋ1
丹,Đan,da:n1
之,Chi,tʂi1
予,Dư,zɯ1
予,Dữ,zɯ4
云,Vân,vɤn1
互,Hỗ,ho4
五,Ngũ,ŋu4
井,Tỉnh,tiɲ3
亢,Cang,ka:ŋ1
亢,Kháng,xa:ŋ5
什,Thập,t'ɤp8
仁,Nhân,ɲɤn1
仃,Đinh,diɲ1
仄,Trắc,tʂak7
仆,Phó,fɔ5
仇,Cừu,kɯw2
仉,Chưởng,tʂɯɤŋ3
今,Kim,kim1
介,Giới,ʑɤ:j5
仍,Nhưng,ɲɯŋ1
允,Duẫn,zuɤn4
允,Doãn,zwa:n4
元,Nguyên,ŋwien1
內,Nội,noj6
公,Công,koŋ1
六,Lục,luk8
兮,Hề,he2
内,Nội,noj6
冈,Cương,kɯɤŋ1
冗,Nhũng,ɲuŋ4
凶,Hung,huŋ1
分,Phân,fɤn1
分,Phận,fɤn6
切,Thế,t'e5
切,Thiết,t'iet7
刈,Ngải,ŋa:j3
勻,Quân,kwɤn1
勿,Vật,vɤt8
化,Hóa,hwa:5
匹,Thất,t'ɤt7
卅,Tạp,ta:p8
升,Thăng,t'aŋ1
午,Ngọ,ŋɔ6
卞,Biện,bien6
卬,Ngang,ŋa:ŋ1
厄,Ách,a:ʧ7
及,Cập,kɤp8
友,Hữu,hɯw4
反,Phiên,fien1
反,Phản,fa:n3
壬,Nhâm,ɲɤm1
天,Thiên,t'ien1
太,Thái,t'a:j5
夫,Phu,fu1
夬,Quái,kwa:j5
夭,Yêu,iew1
夭,Yểu,iew3
孔,Khổng,koŋ3
少,Thiểu,t'iew3
少,Thiếu,t'iew5
尤,Vưu,vɯw1
尹,Duẫn,zuɤn4
尺,Xích,siʧ7
屯,Đồn,don2
屯,Truân,tʂwɤn1
巴,Ba,ba:1
巿,Phất,fɤt7
帀,Táp,ta:p7
幻,Huyễn,hwien4
廿,Nhập,ɲɤp8
弌,Nhất,ɲɤt7
弔,Điếu,diew5
弔,Đích,diʧ7
引,Dẫn,zɤn4
心,Tâm,tɤm1
戈,Qua,qwa:1
戶,Hộ,ho6
手,Thủ,t'u3
扎,Trát,tʂa:t7
支,Chi,tʂi1
攴,Phộc,fok8
文,Văn,van1
斗,Đẩu,dɤw3
斤,Cân,kɤn1
方,Phương,fɯɤŋ1
旡,Kí,ki5
日,Nhật,ɲɤt8
曰,Viết,viet7
月,Nguyệt,ŋwiet8
木,Mộc,mok8
欠,Khiếm,xiem5
止,Chỉ,tʂi3
歹,Ngạt,ŋa:t8
殳,Thù,t'u2
毋,Vô,vo1
比,Tỉ,ti3
毛,Mao,ma:w1
氏,Thị,t'i6
水,Thủy,t'wi3
火,Hỏa,hwa:3
爪,Trảo,tʂa:w3
父,Phủ,fu3
父,Phụ,fu6
爻,Hào,ha:w2
片,Phiến,fien5
牙,Nha,ɲa:1
牛,Ngưu,ŋɯw1
犬,Khuyển,xwien3
王,Vương,vɯɤŋ1
王,Vượng,vɯɤŋ6
瓦,Ngõa,ŋwa:4
且,Thả,t'a:3
且,Thư,t'ɯ1
丕,Phi,fi1
世,Thế,t'e5
丘,Khưu,xɯw1
丙,Bính,biɲ5
丱,Quán,kwa:n5
主,Chủ,tʂu3
乍,Sạ,ʂa:6
乎,Hồ,ho2
乏,Phạp,fa:p8
仔,Tử,tɯ3
仕,Sĩ,ʂi4
他,Tha,t'a:1
仗,Trượng,tʂɯɤŋ6
付,Phó,fɔ5
仙,Tiên,tien1
仝,Đồng,doŋ2
仞,Nhận,ɲɤn6
仟,Thiên,t'ien1
仡,Ngật,ŋɤt8
代,Đại,da:j6
令,Lệnh,leɲ6
以,Dĩ,zi4
兄,Huynh,hwiɲ1
冉,Nhiễm,ɲiem4
册,Sách,ʂa:ʧ7
冬,Đông,doŋ1
凷,Khối,xoj5
凸,Đột,dot8
凹,Ao,a:w1
出,Xuất,swɤt7
刊,San,ʂa:n1
功,Công,koŋ1
加,Gia,ʑa:1
匃,Cái,ka:j5
包,Bao,ba:w1
北,Bắc,bak7
匜,Di,zi1
卉,Hủy,hwi3
半,Bán,ba:n5
卌,Tấp,tɤp7
占,Chiêm,tʂiem1
占,Chiếm,tʂiem5
卮,Chi,tʂi1
卯,Mão,ma:w4
去,Khử,xɯ3
去,Khứ,xɯ5
古,Cổ,ko3
句,Câu,kɤw1
句,Cú,ku5
叨,Đao,da:w1
叩,Khấu,xɤw5
只,Chỉ,tʂi3
叫,Khiếu,xiew5
召,Triệu,tʂiew6
叮,Đinh,diɲ1
可,Khả,xa:3
台,Di,zi1
台,Thai,t'a:j1
叱,Sất,ʂɤt5
史,Sử,ʂɯ3
右,Hữu,hɯw4
叵,Phả,fa:3
叶,Hiệp,hiep8
司,Tư,tɯ1
囚,Tù,tu2
四,Tứ,tɯ5
外,Ngoại,ŋwa:j6
央,Ương,ɯɤŋ1
失,Thất,t'ɤt7
夲,Thao,t'a:w1
奴,Nô,no1
孕,Dựng,zɯŋ6
宁,Trữ,tʂɯ4
宂,Nhũng,ɲuŋ4
它,Tha,t'a:1
宄,Quỹ,kwi4
尒,Nhĩ,ɲi4
尻,Khào,xa:w2
尼,Ni,ni1
屴,Lực,lɯk8
左,Tả,ta:3
巧,Xảo,sa:w3
巨,Cự,kɯ6
市,Thị,t'i6
布,Bố,bo5
平,Bình,biɲ2
幼,Ấu,ɤw5
庀,Phỉ,fi3
弁,Biền,bien2
弍,Nhị,ɲi6
弗,Phất,fɤt7
弘,Hoằng,hwaŋ2
必,Tất,tɤt7
忉,Đao,da:w1
戊,Mậu,mɤw6
戹,Ách,a:ʧ7
扒,Bái,ba:j5
打,Đả,da:3
扔,Nhưng,ɲɯŋ1
扔,Nhận,ɲɤn6
斥,Xích,siʧ7
旦,Đán,da:n5
未,Vị,vi6
末,Mạt,ma:t8
本,Bổn,bon3
札,Trát,tʂa:t7
朮,Truật,tʂwɤt8
正,Chính,tʂiɲ5
正,Chinh,tʂiɲ1
母,Mẫu,mɤw4
氐,Đê,de1
民,Dân,zɤn1
永,Vĩnh,viɲ4
氾,Phiếm,fiem5
汀,Đinh,diɲ1
汁,Trấp,tʂɤp7
犯,Phạm,fa:m6
玄,Huyền,hwien2
玉,Ngọc,ŋɔk8
瓜,Qua,qwa:1
甘,Cam,ka:m1
